hour,grid_purchase_CNY_per_kWh,grid_period,A_swap_fee,A_charge_fee,B_swap_fee,B_charge_fee,A_swap_total_raw,A_charge_total_raw,B_swap_total_raw,B_charge_total_raw
0,0.422744,valley,0.35,0.50,0.35,0.30,0.77,0.92,0.77,0.72
1,0.422744,valley,0.35,0.50,0.35,0.30,0.77,0.92,0.77,0.72
2,0.422744,valley,0.35,0.50,0.50,0.30,0.77,0.92,0.92,0.72
3,0.422744,valley,0.35,0.30,0.35,0.30,0.77,0.72,0.77,0.72
4,0.422744,valley,0.35,0.30,0.35,0.50,0.77,0.72,0.77,0.92
5,0.422744,valley,0.50,0.30,0.35,0.50,0.92,0.72,0.77,0.92
6,0.628011,flat,0.15,0.30,0.35,0.30,0.78,0.93,0.98,0.93
7,0.628011,flat,0.35,0.30,0.35,0.30,0.98,0.93,0.98,0.93
8,0.628011,flat,0.35,0.30,0.35,0.30,0.98,0.93,0.98,0.93
9,0.628011,flat,0.30,0.30,0.35,0.30,0.93,0.93,0.98,0.93
10,0.628011,flat,0.30,0.30,0.35,0.30,0.93,0.93,0.98,0.93
11,0.628011,flat,0.35,0.30,0.35,0.30,0.98,0.93,0.98,0.93
12,0.422744,valley,0.35,0.50,0.35,0.30,0.77,0.92,0.77,0.72
13,0.422744,valley,0.50,0.30,0.35,0.50,0.92,0.72,0.77,0.92
14,0.628011,flat,0.35,0.30,0.35,0.30,0.98,0.93,0.98,0.93
15,0.628011,flat,0.35,0.30,0.35,0.30,0.98,0.93,0.98,0.93
16,0.818449,peak,0.30,0.30,0.35,0.30,1.12,1.12,1.17,1.12
17,0.818449,peak,0.35,0.30,0.35,0.30,1.17,1.12,1.17,1.12
18,0.818449,peak,0.35,0.30,0.35,0.30,1.17,1.12,1.17,1.12
19,0.818449,peak,0.35,0.30,0.35,0.30,1.17,1.12,1.17,1.12
20,1.008497,critical_peak,0.35,0.30,0.35,0.30,1.36,1.31,1.36,1.31
21,1.008497,critical_peak,0.35,0.30,0.35,0.30,1.36,1.31,1.36,1.31
22,0.818449,peak,0.35,0.30,0.35,0.30,1.17,1.12,1.17,1.12
23,0.818449,peak,0.30,0.30,0.35,0.30,1.12,1.12,1.17,1.12
