hour,A_swap_count,A_swap_kWh,A_charge_count,A_charge_kWh,A_idle_raw,B_swap_count,B_swap_kWh,B_charge_count,B_charge_kWh,B_idle_raw
0,8,3280,1,410,,8,3280,1,410,
1,8,3280,0,0,0,2,820,1,410,4
2,6,2460,1,410,1,2,820,1,410,4
3,2,820,2,820,2,2,820,2,820,2
4,4,1640,1,410,2,6,2460,0,0,2
5,2,820,1,410,4,8,3280,0,0,0
6,8,3280,0,0,0,2,820,1,410,4
7,2,820,2,820,2,2,820,2,820,2
8,2,820,2,820,2,2,820,2,820,2
9,3,1230,1,410,3,3,1230,2,820,1
10,3,1230,2,820,1,3,1230,1,410,3
11,2,820,2,820,2,2,820,2,820,2
12,7,2870,1,2050,1,5,2050,0,0,3
13,0,0,4,1640,0,4,1640,0,0,4
14,2,820,2,820,2,2,820,2,820,2
15,2,820,2,820,2,2,820,2,820,2
16,1,410,2,500,5,1,410,2,500,3
17,1,410,2,500,5,1,410,2,500,3
18,1,410,2,500,5,1,410,2,500,3
19,1,410,2,500,5,1,410,2,500,3
20,0,0,0,0,8,0,0,0,0,8
21,0,0,0,0,8,0,0,0,0,8
22,1,410,2,500,5,1,410,2,500,3
23,1,410,2,500,5,1,410,2,500,3
