case,days,metric,independent_expected,system_actual,absolute_difference,unit,status
V01_SST_3D,3,deliveredKWh,600.000000000000000000000000000000,600,0,kWh,PASS
V01_SST_3D,3,gridKWh,644.468313641245972073039742212675,644.468313641247,6.82121026329696e-13,kWh,PASS
V01_SST_3D,3,lossKWh,44.468313641245972073039742212675,44.4683136412461,1.20792265079217e-13,kWh,PASS
V01_SST_3D,3,revenueSettled,480.000000000000000000000000000000,480,0,CNY,PASS
V01_SST_3D,3,gridCostSettled,322.260000000000000000000000000000,322.26,0,CNY,PASS
V01_SST_3D,3,initialStoredKWh,200.000000000000000000000000000000,200,0,kWh,PASS
V01_SST_3D,3,finalStoredKWh,200.000000000000000000000000000000,200,2.55795384873636e-13,kWh,PASS
V02_PCS_AC_EV_4D,4,deliveredKWh,800.000000000000000000000000000000,800,4.54747350886464e-13,kWh,PASS
V02_PCS_AC_EV_4D,4,gridKWh,2854.278553526673827425707124955245,2854.27855352667,2.72848410531878e-12,kWh,PASS
V02_PCS_AC_EV_4D,4,lossKWh,134.278553526673827425707124955245,134.278553526674,5.6843418860808e-14,kWh,PASS
V02_PCS_AC_EV_4D,4,revenueSettled,680.000000000000000000000000000000,680,0,CNY,PASS
V02_PCS_AC_EV_4D,4,gridCostSettled,1569.440000000000000000000000000000,1569.44,0,CNY,PASS
V02_PCS_AC_EV_4D,4,initialStoredKWh,200.000000000000000000000000000000,200,0,kWh,PASS
V02_PCS_AC_EV_4D,4,finalStoredKWh,200.000000000000000000000000000000,200,0,kWh,PASS
V03_OUTAGE_CROSSSITE_5D,5,deliveredKWh,1000.000000000000000000000000000000,1000,0,kWh,PASS
V03_OUTAGE_CROSSSITE_5D,5,gridKWh,953.276047261009667024704618689581,953.27604726101,0,kWh,PASS
V03_OUTAGE_CROSSSITE_5D,5,lossKWh,65.776047261009667024704618689581,65.7760472610098,9.9475983006414e-14,kWh,PASS
V03_OUTAGE_CROSSSITE_5D,5,revenueSettled,1050.000000000000000000000000000000,1050,0,CNY,PASS
V03_OUTAGE_CROSSSITE_5D,5,gridCostSettled,660.590000000000000000000000000000,660.59,0,CNY,PASS
V03_OUTAGE_CROSSSITE_5D,5,initialStoredKWh,200.000000000000000000000000000000,200,0,kWh,PASS
V03_OUTAGE_CROSSSITE_5D,5,finalStoredKWh,87.500000000000000000000000000000,87.5,2.8421709430404e-14,kWh,PASS
